anahtar,grup,turkce,ingilizce,nerede
t5a3adcd8,arayuz,"Hız","Speed","apps/web/src/screens/Kisla.tsx:319"
t778c4ebf,arayuz,"Hiçbir yuvan dolu değil. Ekipman","None of your slots are full. Equipment","apps/web/src/screens/LordEkrani.tsx:588"
tdca95e4b,arayuz,"IP adresin veritabanına yazılmıyor. Yalnızca kayıt ve giriş denemelerini sınırlamak için, istek anında ve geçici olarak kullanılıyor.","Your IP address is never written to the database. It is used only at the moment of a request, and only to limit sign-up and sign-in attempts.","apps/web/src/screens/Gizlilik.tsx:83"
t9cb9666b,arayuz,"için savaşıyor","is fighting for","apps/web/src/components/DiyarTanitimi.tsx:87"
t76d5e47d,arayuz,"İdeal dizilim","Ideal formation","apps/web/src/components/DizilimSemasi.tsx:33"
t7deecf77,arayuz,"ihbar süresi boyunca pakt hâlâ korur — söz verdiğin an geri alınamıyor, o yüzden söz değerli.","","apps/web/src/components/Paktlar.tsx:158"
tee5870c4,arayuz,"İki iş için: sen yokken ne olduğunu özetlemek, ve oyuncuların oyunu nerede bıraktığını toplam olarak görmek. İkincisinde kimin hangi ekranda olduğu değil, yalnızca sayılar okunuyor.","For two things: to summarise what happened while you were away, and to see in aggregate where players leave the game. For the second, only totals are read — never who was on which screen.","apps/web/src/screens/Gizlilik.tsx:62"
t1458df25,arayuz,"İKİNCİ","SECOND","apps/web/src/components/DizilimIzgarasi.tsx:52"
td2bcae9f,arayuz,"İkinci renk","Secondary color","apps/web/src/components/ArmaSecici.tsx:147"
taa027114,arayuz,"İkonlar","Icons","apps/web/src/screens/Giris.tsx:307"
tb14deebf,arayuz,"İlerleme","Progress","apps/web/src/screens/Arastirma.tsx:96"
te4d7bc84,arayuz,"İlk akınına çık","Go on your first raid","apps/web/src/components/Omurga.tsx:728 | packages/shared/src/rehber.ts:167"
tdd36eb75,arayuz,"ilk bölgeni al","take your first region","apps/web/src/components/Omurga.tsx:703 | apps/web/src/components/Omurga.tsx:742"
t2266f08c,arayuz,"İlk saldırın hızlandırıldı: ordun {0} içinde varacak, sonucu bu oturumda göreceksin.","Your first attack is sped up: your army will arrive in {0}, and you will see the outcome in this session.","apps/web/src/components/SaldiriOnizleme.tsx:185"
t2153024e,arayuz,"imkânsız","impossible","apps/web/src/components/SaldiriOnizleme.tsx:48"
t11e05dd1,arayuz,"inşa ediliyor","under construction","apps/web/src/screens/Sehir.tsx:642"
tff2e7684,arayuz,"İnşa et","Construct","apps/web/src/screens/Sehir.tsx:970"
t776ce02a,arayuz,"İnşaat","Construction","apps/web/src/screens/Sehir.tsx:60"
t22b61a98,arayuz,"İnşaat başlatılamadı.","Construction could not be started.","apps/web/src/screens/Sehir.tsx:310"
td1345f2b,arayuz,"iPhone ve iPad&apos;de bildirimler yalnızca ana ekrana eklenmiş uygulamada çalışır. Paylaş menüsünden","","apps/web/src/components/BildirimKarti.tsx:73"
t68d4eca6,arayuz,"İptal","Cancel","apps/web/src/screens/Arastirma.tsx:118 | apps/web/src/screens/Sehir.tsx:492"
t8f6427be,arayuz,"İptal edersen harcadığının yarısı geri gelir.","If you cancel, half of what you spent is refunded.","apps/web/src/screens/Arastirma.tsx:122 | apps/web/src/screens/Sehir.tsx:496"
t57dca8ac,arayuz,"İPUCU","HINT","apps/web/src/screens/Malikane.tsx:238"
t65acff74,arayuz,"İşaretleniyor…","Marking...","apps/web/src/screens/Harita.tsx:445"
t55615cba,arayuz,"İşlem başarısız.","Operation failed.","apps/web/src/screens/Demirhane.tsx:360 | apps/web/src/screens/Generaller.tsx:158 | apps/web/src/screens/Harita.tsx:639 | apps/web/src/screens/Kisla.tsx:380 | apps/web/src/screens/LordEkrani.tsx:203"
tce89a581,arayuz,"İşlem tamamlanamadı.","Operation could not be completed.","apps/web/src/components/Paktlar.tsx:49"
tcabdf0fd,arayuz,"İşlem yapılamadı.","Operation failed.","apps/web/src/components/IttifakBasvurular.tsx:43 | apps/web/src/components/IttifakIncele.tsx:44 | apps/web/src/screens/Harita.tsx:310 | apps/web/src/screens/Ittifak.tsx:134"
t4c73a838,arayuz,"işliyor — bağış yapmayana da. Bağışın karşılığı fayda puanı.","","apps/web/src/screens/Medeniyet.tsx:270"
tdef74ba4,arayuz,"İttifak","Alliance","apps/api/src/routes/ittifak.ts:1295 | apps/api/src/routes/ittifak.ts:1477 | apps/api/src/routes/ittifak.ts:511 | apps/api/src/routes/ittifak.ts:947 | apps/web/src/screens/Harita.tsx:436 | apps/web/src/screens/Ittifak.tsx:205 | apps/web/src/screens/Siralama.tsx:37 | packages/shared/src/types.ts:319"
t1d6a6fe8,arayuz,"İttifak adı","Alliance name","apps/web/src/screens/Ittifak.tsx:328"
t57230d2a,arayuz,"İttifak dolu","Alliance is full","apps/web/src/components/IttifakBasvurular.tsx:163"
t36263fef,arayuz,"İttifak hedefi yap","Make alliance target","apps/web/src/screens/Harita.tsx:445"
ta58c0e06,arayuz,"İttifak Kur","Found Alliance","apps/web/src/screens/Ittifak.tsx:320"
t2f32c28b,arayuz,"İttifak kurmak {0} altın tutuyor; {1} altının var.","Founding an alliance costs {0} gold; you have {1} gold.","apps/web/src/screens/Ittifak.tsx:353"
tab8d0c98,arayuz,"İttifak listesinde, sıralamada ve üyelerinin yanında bu arma görünür.","This crest appears in the alliance list, ranking, and next to its members.","apps/web/src/screens/Ittifak.tsx:374"
t7e38d851,arayuz,"İttifak seç…","Select alliance…","apps/web/src/components/Paktlar.tsx:176"
tc0d38154,arayuz,"İttifak Seviyesi · {0}","Alliance Level · {0}","apps/web/src/components/IttifakBagis.tsx:80"
t555488a0,arayuz,"İttifak Sohbeti","Alliance Chat","apps/web/src/components/IttifakSohbet.tsx:75"
t3214552e,arayuz,"İttifak sohbetinde yazdıkların ittifakındaki diğer oyunculara açık. Şikâyet edilen bir mesaj, kararı verecek yöneticiye görünür.","What you write in alliance chat is visible to the other players in your alliance. A reported message is visible to the moderator who will decide on it.","apps/web/src/screens/Gizlilik.tsx:108"
tad6b90ff,arayuz,"İttifak üyelerine saldıramazsın, onlar da sana saldıramaz.","You cannot attack alliance members, and they cannot attack you.","apps/web/src/screens/Ittifak.tsx:305"
tc44c471f,arayuz,"İttifaka","To the alliance","apps/web/src/components/IttifakBagis.tsx:125"
t9e905e53,arayuz,"İttifaka git","Go to alliance","apps/web/src/screens/Siralama.tsx:231"
t53231bc6,arayuz,"İttifakım","My Alliance","apps/web/src/screens/Ittifak.tsx:218"
t127bae83,arayuz,"İttifakın {0}. seviyeye çıktı!","Your alliance reached level {0}!","apps/web/src/components/IttifakBagis.tsx:46"
t8e863c80,arayuz,"İttifakın Arması","Alliance Crest","apps/web/src/screens/Ittifak.tsx:373"
t0a1b8b4e,arayuz,"İttifakın Kapısı","Alliance Gate","apps/web/src/components/IttifakBasvurular.tsx:72"
t5c9c3940,arayuz,"İttifakının henüz paktı yok. Pakt kurma kararını lider verir.","Your alliance has no pacts yet. The leader decides to form a pact.","apps/web/src/components/Paktlar.tsx:199"
tc9cb6ae9,arayuz,"İttifakının sırası","Your alliance's rank","apps/web/src/screens/Siralama.tsx:242"
t22f750ba,arayuz,"İttifaktan ayrıl","Leave the alliance","apps/web/src/screens/Ittifak.tsx:315"
tfdbdf073,arayuz,"İyileşene kadar saldıramazsın. Malikâne ekranında kalan süreyi görebilirsin.","You cannot attack until healed. You can see the remaining time on the Manor screen.","apps/web/src/screens/Harita.tsx:731"
t3922a4ac,arayuz,"iyileşince saldır","attack when healed","apps/web/src/components/Omurga.tsx:638"
tecfae1d8,arayuz,"İyileşmesine","Until healed","apps/web/src/screens/LordEkrani.tsx:330"
t217040e8,arayuz,"Kabul","Accept","apps/web/src/components/Paktlar.tsx:95"
t569c9389,arayuz,"Kabul et","Accept","apps/web/src/components/IttifakBasvurular.tsx:163"
ta6651066,arayuz,"kademe {0}","tier {0}","apps/web/src/screens/Arastirma.tsx:160"
t01d420ed,arayuz,"Kadim","Ancient","apps/web/src/components/ui.tsx:282"
tb768a553,arayuz,"Kadro çağrılıyor...","Roster is being summoned...","apps/web/src/screens/Generaller.tsx:162"
t0f383914,arayuz,"KALAN","REMAINING","apps/web/src/components/SavasRaporu.tsx:189"
tc67d9cb8,arayuz,"kaldı","remaining","apps/web/src/screens/Arastirma.tsx:114 | apps/web/src/screens/Sehir.tsx:488"
ta26a9886,arayuz,"kaldı. Bu sürede saldıramazsın.","","apps/web/src/screens/LordEkrani.tsx:330"
t8a4e1a1c,arayuz,"kaldı. İlk saldırında kalkan düşer.","","apps/web/src/screens/Malikane.tsx:137"
ta2c9f70e,arayuz,"Kale kırıcı. Tahkimata ×2, birime karşı ×0,5.","Siege breaker. ×2 against fortifications, ×0.5 against units.","apps/web/src/screens/Kisla.tsx:59"
t32403562,arayuz,"Kalıcı olarak sil","Permanently delete","apps/web/src/screens/Hesap.tsx:272"
t0f86f2e3,arayuz,"Kalkan","Shield","apps/web/src/components/ArmaSecici.tsx:113 | apps/web/src/screens/Demirhane.tsx:61 | apps/web/src/screens/LordEkrani.tsx:72"
t806485d0,arayuz,"kalkan altında","under shield","apps/web/src/screens/Malikane.tsx:218"
t821d31ab,arayuz,"Kampın","Your camp","apps/web/src/components/DunyaHaritasi.tsx:1041 | apps/web/src/components/DunyaHaritasi.tsx:468"
t926ba486,arayuz,"kapat","close","apps/web/src/components/Basarimlar.tsx:77 | apps/web/src/components/Omurga.tsx:460"
t66e09026,arayuz,"Kapat","Close","apps/web/src/components/ArmaSecici.tsx:105 | apps/web/src/components/BildirimKarti.tsx:129 | apps/web/src/components/KapiPaneli.tsx:89 | apps/web/src/components/Omurga.tsx:363 | apps/web/src/components/SavasRaporu.tsx:446 | apps/web/src/components/SavasRaporu.tsx:469 | apps/web/src/components/SavunmaDuzeni.tsx:69 | apps/web/src/components/SikayetSayfasi.tsx:66 | apps/web/src/screens/Demirhane.tsx:125 | apps/web/src/screens/Harita.tsx:1104 | apps/web/src/screens/Harita.tsx:998 | apps/web/src/screens/Medeniyet.tsx:310"
t0ffc6da6,arayuz,"KAPAT","CLOSE","apps/web/src/screens/Demirhane.tsx:126"
ta8548f01,arayuz,"Kapı herkese açık, başvuru gelmiyor.","The gate is open to everyone, no applications come in.","apps/web/src/components/IttifakBasvurular.tsx:135"
t643a1b1c,arayuz,"Kara Yusuf","Kara Yusuf","apps/web/src/screens/Giris.tsx:215"
t07d6d627,arayuz,"Karar uygulanamadı.","Decision could not be applied.","apps/web/src/screens/Moderasyon.tsx:44"
ta30ec875,arayuz,"Karara bağlanan","Resolved","apps/web/src/screens/Moderasyon.tsx:75"
tbff7fa0c,arayuz,"Karşı taraf {0} kat güçlüydü.","The opposing side was {0}× stronger.","apps/web/src/components/SavasRaporu.tsx:371"
tf40b4b94,arayuz,"Karşı taraf {0}. turda en çok öne geçti: {1} güce karşı {2}.","The opposing side pulled ahead the most in round {0}: {1} power against {2}.","apps/web/src/components/SavasRaporu.tsx:389"
tdd047557,arayuz,"Karşı taraf feshetti","The opposing side dissolved","apps/web/src/components/Paktlar.tsx:129"
t61651f24,arayuz,"Karşılaştırılacak bir hedef kalmadı; haritada saldırılabilir bölge yok.","No target left to compare; there are no attackable regions on the map.","apps/web/src/screens/Demirhane.tsx:163"
tc31b7676,arayuz,"Karşında: {0}","Against you: {0}","apps/web/src/screens/Akin.tsx:585"
t14306832,arayuz,"Katıl","Join","apps/web/src/components/IttifakIncele.tsx:163 | apps/web/src/screens/Ittifak.tsx:491"
t106f163d,arayuz,"Katılmak","To join","apps/web/src/components/IttifakIncele.tsx:110 | packages/shared/src/ogretici.ts:557"
tc0088b9a,arayuz,"Kaybedersen","If you lose","apps/web/src/components/ui.tsx:228"
t2a417817,arayuz,"Kaydedilemedi, tekrar dene.","Could not save, try again.","apps/web/src/components/SavunmaDuzeni.tsx:100"
tb4a70c1f,arayuz,"Kaydediliyor...","Saving...","apps/web/src/screens/LordEkrani.tsx:512"
t6e20f3cf,arayuz,"Kaydediliyor…","Saving…","apps/web/src/components/ArmaSecici.tsx:189 | apps/web/src/components/IttifakDuyuru.tsx:86 | apps/web/src/components/SavunmaDuzeni.tsx:97"
t80a231d5,arayuz,"Kaydet","Save","apps/web/src/components/IttifakDuyuru.tsx:86"
t083caee9,arayuz,"KAYIP","LOSSES","apps/web/src/components/SavasRaporu.tsx:188"
t6ff52f6d,arayuz,"Kayıt","Log","apps/web/src/screens/Ittifak.tsx:221"
t4b2bd8f8,arayuz,"Kayıt Defteri","Logbook","apps/web/src/components/IttifakKayit.tsx:47"
t1ea0a49d,arayuz,"Kaynağın yetmiyor","Not enough resources","apps/web/src/components/IttifakBagis.tsx:72 | apps/web/src/components/ui.tsx:139"
t9f18d90b,arayuz,"Kaynağını ve bağış miktarını kontrol et.","","apps/web/src/screens/Medeniyet.tsx:352"
t9bec001a,arayuz,"Kaynak Gönder","Send Resources","apps/web/src/components/KaynakGonder.tsx:69"
t106e30a3,arayuz,"Kaynak gönderme tavanı +{0} · takviye %{1} hızlı · keşif %{2} ucuz","Resource sending cap +{0} · reinforcements {1}% faster · scouting {2}% cheaper","apps/web/src/components/IttifakIncele.tsx:85"
t4f0b28d8,arayuz,"kaynak ve ekipman","resources and equipment","apps/web/src/components/Omurga.tsx:733"
tb7993191,arayuz,"Kaynak yolda vakit geçirir. Bugün {0} / {1}{2}değerinde daha gönderebilirsin.","Resources spend time on the way. Today you can send {0} / {1}{2}more worth.","apps/web/src/components/KaynakGonder.tsx:100"
t394c24be,arayuz,"Kazancın yalnızca yağma","Your gain is only loot","apps/web/src/components/SaldiriOnizleme.tsx:114"
t1e9d2119,arayuz,"Kazanırsan","If you win","apps/web/src/components/SaldiriOnizleme.tsx:100 | apps/web/src/components/ui.tsx:227"
t545b2a19,arayuz,"Kazanırsan:","If you win:","apps/web/src/screens/Akin.tsx:640"
tcf60c0c7,arayuz,"Kazanma ihtimali","Chance of winning","apps/web/src/screens/Akin.tsx:619"
t9ab780a2,arayuz,"Kazansan bile","Even if you win","apps/web/src/components/SaldiriOnizleme.tsx:100"
t8cd1d240,arayuz,"Kendi üyenizin bölgesi hedef olamaz.","Your own member's region cannot be a target.","apps/api/src/routes/ittifak.ts:736 | apps/web/src/screens/Harita.tsx:449"
tb766e201,arayuz,"Keşif","Scouting","apps/web/src/screens/Harita.tsx:495 | apps/web/src/screens/Sehir.tsx:66 | data/generals.json:generaller[7].yetenek.ad"
t3402d9f4,arayuz,"Keşif indirimi","Scouting discount","apps/web/src/components/IttifakBagis.tsx:28"
t13a28099,arayuz,"kıl payı — sonuç değişebilir","too close to call — the outcome may change","apps/web/src/components/SaldiriOnizleme.tsx:46"
t1f31dd4f,arayuz,"Kılıç","Sword","apps/web/src/screens/Siralama.tsx:31 | data/arma.json:semboller[1].ad"
t1347fb95,arayuz,"Kısa not (isteğe bağlı)","Short note (optional)","apps/web/src/components/IttifakIncele.tsx:133"
t727d8719,arayuz,"Kışla","Barracks","apps/web/src/screens/Demirhane.tsx:558 | apps/web/src/screens/Kisla.tsx:416 | apps/web/src/screens/Olaylar.tsx:87 | apps/web/src/screens/Sehir.tsx:552 | data/binalar.json:binalar[1].ad"
tffaa3bd3,arayuz,"Kışla'da asker eğit, burası dolsun.","Train troops in the Barracks, so this place fills up.","apps/web/src/components/OrduSahnesi.tsx:190"
t547d4428,arayuz,"Kışla'ya git","Go to Barracks","apps/web/src/screens/Harita.tsx:228"
t4aa6e545,arayuz,"Kışlada {0} eğit","Train {0} in the Barracks","apps/web/src/components/Omurga.tsx:791"
t28f07577,arayuz,"Kışlaya git","Go to Barracks","apps/web/src/components/Omurga.tsx:635"
t75c58153,arayuz,"Kilitli — {0}","Locked — {0}","apps/web/src/components/DizilimIzgarasi.tsx:426 | apps/web/src/screens/Arastirma.tsx:215"
t620209e5,arayuz,"Kiminle birlikte oynuyorsun","Who are you playing with","apps/web/src/screens/Ittifak.tsx:205"
tfc983ae0,arayuz,"Kimlerle paylaşılıyor","Who it is shared with","apps/web/src/screens/Gizlilik.tsx:101"
t0c8cef8c,arayuz,"Kirala · {0}","Hire · {0}","apps/web/src/screens/Generaller.tsx:126"
te5a5abc7,arayuz,"komisyon %{0}","commission {0}%","apps/web/src/components/Pazar.tsx:101"
t48dcce40,arayuz,"Komuta {0} yer","Command takes {0}","apps/web/src/screens/LordEkrani.tsx:55"
tfd213fce,arayuz,"Komuta kapasiten yetmiyor","Insufficient command capacity","apps/web/src/components/Omurga.tsx:752"
t6070c855,arayuz,"Komuta yeri","Command space","apps/web/src/screens/Kisla.tsx:320"
t42c135b1,arayuz,"Komuta yerin yetmiyor","Not enough command space","apps/web/src/screens/Kisla.tsx:93"
t44600e9f,arayuz,"Korumalı","Protected","apps/web/src/components/DunyaHaritasi.tsx:1027"
t0d0d93bf,arayuz,"Koşul değiştiğinde düğme kendiliğinden açılır.","The button will enable automatically when the condition changes.","apps/web/src/components/IttifakIncele.tsx:173"
t5932d212,arayuz,"Kumandan","Commander","apps/web/src/screens/LordEkrani.tsx:130"
ta75ebbe0,arayuz,"Kur ·","","apps/web/src/screens/Ittifak.tsx:348"
t863206b4,arayuz,"Kuralları sağladığından emin ol ve tekrar dene.","Make sure you meet the conditions and try again.","apps/web/src/components/Paktlar.tsx:204 | apps/web/src/screens/Ittifak.tsx:399"
t41958ef2,arayuz,"Kurnazlık","Cunning","apps/web/src/screens/LordEkrani.tsx:57"
t46e558eb,arayuz,"Kurulmadı — ordun şimdilik önerilen düzende savaşıyor. Elle kurarsan daha iyisini yapabilirsin.","Not set — your army fights in the recommended setup for now. You can do better if you set it manually.","apps/web/src/components/SavunmaDuzeni.tsx:64"
tabcbcfc8,arayuz,"Kuşam","Loadout","apps/web/src/screens/LordEkrani.tsx:274 | apps/web/src/screens/LordEkrani.tsx:432"
taecbd481,arayuz,"Kuşan","Equip","apps/web/src/screens/Demirhane.tsx:270"
tf411f46d,arayuz,"kuşanıkla aynı","same as equipped","apps/web/src/screens/Demirhane.tsx:76"
tec20dd70,arayuz,"Kuşanılan Ekipman","Equipped Gear","apps/web/src/screens/LordEkrani.tsx:582"
t43eafc33,arayuz,"Kuşanıldı — ne değişti","Equipped — what changed","apps/web/src/screens/Demirhane.tsx:124"
t962eab7c,arayuz,"Kuşanırsan savaş katkın","If you equip, your battle contribution","apps/web/src/screens/Demirhane.tsx:97"
t2b6aae42,arayuz,"Kutuya birebir HESABIMI SIL yazman gerekiyor.","You need to type DELETE MY ACCOUNT exactly into the box.","apps/web/src/screens/Hesap.tsx:92"
ta64656fc,arayuz,"Kutuya HESABIMI SIL yaz","Type DELETE MY ACCOUNT in the box","apps/web/src/screens/Hesap.tsx:243"
t11d481cd,arayuz,"Kuyruğu tazeleyip tekrar dene.","Refresh the queue and try again.","apps/web/src/screens/Moderasyon.tsx:80"
tfff03604,arayuz,"Kuyruk {0}/{1}","Queue {0}/{1}","apps/web/src/screens/Kisla.tsx:463"
t24a14132,arayuz,"Kuyruk boş. Bir şeyler başlat.","Queue is empty. Start something.","apps/web/src/screens/Sehir.tsx:549"
t2b606a9d,arayuz,"Kuyruklar{0}","Queues{0}","apps/web/src/screens/Sehir.tsx:544"
t72316f34,arayuz,"LİDER","LEADER","apps/web/src/components/IttifakIncele.tsx:97"
t2af63733,arayuz,"lider avı","leader hunt","apps/web/src/components/DunyaSeridi.tsx:135"
t5a595361,arayuz,"lider avı · +%{0} yağma","leader hunt · +{0}% loot","apps/web/src/screens/Harita.tsx:1085"
tf8bf69b9,arayuz,"Lider henüz bir hedef işaretlemedi.","The leader hasn't marked a target yet.","apps/web/src/screens/Ittifak.tsx:288"
t3dd260c6,arayuz,"liderin kararı","leader's decision","apps/web/src/components/Paktlar.tsx:107"
te10f0d53,arayuz,"Liderlik","Leadership","apps/web/src/screens/LordEkrani.tsx:55"
t76d9061a,arayuz,"Lord","Lord","apps/api/src/routes/rankings.ts:265 | apps/api/src/routes/ticaret.ts:58 | apps/api/src/services/lord.ts:364 | apps/api/src/services/lord.ts:642 | apps/web/src/components/MobilKabuk.tsx:65"
t1703d35e,arayuz,"Lord adı","Lord name","apps/web/src/screens/Giris.tsx:211"
t168134fc,arayuz,"Lord savaş katkısı","Lord battle contribution","apps/web/src/screens/LordEkrani.tsx:538"
t10934225,arayuz,"Lord tecrübesi","Lord experience","apps/web/src/components/SaldiriOnizleme.tsx:117 | apps/web/src/components/SaldiriOnizleme.tsx:159"
t3f61c37d,arayuz,"lorddan","from lord","apps/web/src/components/DunyaSeridi.tsx:76"
tf479120b,arayuz,"Lordlar Çağı","Age of Lords","apps/api/src/routes/push.ts:82 | apps/web/src/components/MobilKabuk.tsx:311 | apps/web/src/screens/Giris.tsx:184 | apps/web/src/screens/ParolaSifirla.tsx:31"
t8efe9043,arayuz,"Lordlar Çağı hangi veriyi neden tutuyor — ve neyi tutmuyor.","What data Lordlar Çağı keeps and why — and what it does not keep.","apps/web/src/screens/Gizlilik.tsx:42"
t084b456e,arayuz,"Lordlara karşı","Against lords","apps/web/src/screens/LordEkrani.tsx:566"
tc8f2ac29,arayuz,"Lordun","Your lord","apps/web/src/screens/Hesap.tsx:100"
t752657eb,arayuz,"Lordun iyileşiyor","Your lord is healing","apps/web/src/components/Omurga.tsx:628"
t906de783,arayuz,"Lordun yaralı","Your lord is wounded","apps/web/src/screens/Harita.tsx:730 | apps/web/src/screens/LordEkrani.tsx:328"
td275369f,arayuz,"Lordun, ordun, bölgelerin, savaş raporların, ittifakın, sohbet mesajların. Oyunun kendisi bu.","Your lord, army, regions, battle reports, alliance and chat messages. This is the game itself.","apps/web/src/screens/Gizlilik.tsx:58"
t3ce76409,arayuz,"Lorduna ekipman kuşan","Equip your lord","apps/web/src/components/Omurga.tsx:825"
t496f8dba,arayuz,"Makas {0}. turda en çok açıldı: {1} güce karşı {2}.","The gap widened the most in round {0}: {1} power against {2}.","apps/web/src/components/SavasRaporu.tsx:384"
t5c2dce44,arayuz,"Malikâne","Manor","apps/web/src/screens/Malikane.tsx:116 | data/binalar.json:binalar[0].ad | packages/shared/src/types.ts:314"
t79aa19c6,arayuz,"maliyet","cost","apps/web/src/components/ui.tsx:578"
te474d5f1,arayuz,"Mancınık tahkimata karşı","Catapults against fortification","apps/web/src/components/KarsiIpuclari.tsx:76"
t690e7d33,arayuz,"Mancınıklar tahkimata karşı iki katı iş yaptı.","Catapults did double work against the fortification.","apps/web/src/components/SavasRaporu.tsx:406"
t474cfa95,arayuz,"Medeniyet","","apps/web/src/screens/Medeniyet.tsx:110 | packages/shared/src/types.ts:324"
t7227452e,arayuz,"Medeniyetin","","apps/web/src/screens/Medeniyet.tsx:132"
ta604cfa5,arayuz,"Medeniyetin başkenti — bonus taşımıyor, kimlik taşıyor.","","apps/web/src/screens/Medeniyet.tsx:285"
t4d13f325,arayuz,"Medeniyetin herkesi askerini daha hızlı eğitiyor.","","apps/web/src/screens/Medeniyet.tsx:41"
t00013904,arayuz,"medeniyetin herkesine","","apps/web/src/screens/Medeniyet.tsx:270"
te32f5646,arayuz,"Medeniyetin herkesinin depo tavanı büyüyor.","","apps/web/src/screens/Medeniyet.tsx:40"
t087a3361,arayuz,"medeniyetin önde","","apps/web/src/components/DunyaSeridi.tsx:162"
t642dd9f4,arayuz,"Medeniyetin tuttuğu bölgeler daha çok üretiyor.","","apps/web/src/screens/Medeniyet.tsx:43"
t2f9b9c67,arayuz,"Medeniyetin tuttuğu bölgeler daha zor alınıyor.","","apps/web/src/screens/Medeniyet.tsx:42"
tf7042dec,arayuz,"Mesaj gönderilemedi.","Message could not be sent.","apps/web/src/components/IttifakSohbet.tsx:56"
t1910af19,arayuz,"Mesajı kaldır","Remove message","apps/web/src/screens/Moderasyon.tsx:201"
t7ff46615,arayuz,"Mesajını gözden geçir ve tekrar dene.","Review your message and try again.","apps/web/src/components/IttifakSohbet.tsx:146"
t05e52e04,arayuz,"Mevcut parola","Current password","apps/web/src/screens/Hesap.tsx:186"
t180f3ffb,arayuz,"Mevcut parolanı gir","Enter your current password","apps/web/src/screens/Hesap.tsx:83"
t8fa4cc21,arayuz,"Miğfer","Helmet","apps/web/src/screens/Demirhane.tsx:63 | apps/web/src/screens/LordEkrani.tsx:74"
tb2517ac5,arayuz,"Miktarı ve alıcıyı gözden geçir.","Review the amount and the recipient.","apps/web/src/components/KaynakGonder.tsx:101"
tb1714ce7,arayuz,"Nadir","Rare","apps/web/src/components/ui.tsx:270"
t81fbdc14,arayuz,"Nadirlik üretim anında rastgele belirlenir.","Rarity is determined randomly at the moment of forging.","apps/web/src/screens/Demirhane.tsx:509"
t7db547ab,arayuz,"Ne kadar süre","How long","apps/web/src/screens/Gizlilik.tsx:113"
t19e787fd,arayuz,"Ne olduğunu kısaca yaz (zorunlu)","Briefly write what happened (required)","apps/web/src/components/SikayetSayfasi.tsx:107"
t8c17d1b7,arayuz,"Ne toplamıyoruz","What we do not collect","apps/web/src/screens/Gizlilik.tsx:69"
t06674569,arayuz,"Ne topluyoruz","What we collect","apps/web/src/screens/Gizlilik.tsx:47"
t9f6b9fa1,arayuz,"Neden Böyle Oldu","Why Did This Happen","apps/web/src/components/SavasRaporu.tsx:315"
t73ac5603,arayuz,"neredeyse kesin","almost certain","apps/web/src/components/SaldiriOnizleme.tsx:44"
tbe9d2415,arayuz,"Nitelik","Attributes","apps/web/src/screens/LordEkrani.tsx:431"
t0a59e858,arayuz,"Nitelikler","Stats","apps/web/src/screens/LordEkrani.tsx:443"
t9465a68b,arayuz,"Niteliklere git","Go to Stats","apps/web/src/components/Omurga.tsx:764"
tc4156ded,arayuz,"nüfusu az","","apps/web/src/screens/Medeniyet.tsx:209"
t92152373,arayuz,"Ocak, örs ve kuşandıkların","Forge, anvil, and your equipped items","apps/web/src/screens/Demirhane.tsx:397"
t04172b97,arayuz,"Ok, kimin kimi kırdığını gösterir — her eşleşmede ×{0} hasar.","The arrow shows who breaks whom — ×{0} damage in each matchup.","apps/web/src/components/KarsiCemberi.tsx:104"
tf2f98327,arayuz,"olabilir.","can be.","apps/web/src/screens/Sehir.tsx:476"
tfbfb89a6,arayuz,"olacaksın.","you will be.","apps/web/src/screens/LordEkrani.tsx:389 | apps/web/src/screens/Medeniyet.tsx:165"
t76b2da24,arayuz,"olay","event","apps/web/src/screens/LordEkrani.tsx:96"
t38e7530f,arayuz,"Olay Akışı{0}","Event Feed{0}","apps/web/src/screens/Olaylar.tsx:79"
tad5a2d0b,arayuz,"Olaylar","Events","apps/web/src/screens/Olaylar.tsx:76 | packages/shared/src/types.ts:320"
t5833840b,arayuz,"OLAYLAR","EVENTS","apps/web/src/screens/Malikane.tsx:259"
te654b315,arayuz,"oldu.","happened.","apps/web/src/screens/LordEkrani.tsx:103"
t19b08c4e,arayuz,"Onay","Confirmation","apps/web/src/screens/Hesap.tsx:243"
t280ff98c,arayuz,"Onay metnini yaz","Type the confirmation text","apps/web/src/screens/Hesap.tsx:92"
t5f468c6f,arayuz,"Ordu","Army","apps/web/src/components/MobilKabuk.tsx:62 | data/arastirma.json:dallar[1].ad | data/basarimlar.json:kumeler[2].ad"
t9ee840a2,arayuz,"Ordu donanımı","Army gear","apps/web/src/screens/LordEkrani.tsx:548 | apps/web/src/screens/Sehir.tsx:64"
tb1ed25c1,arayuz,"Ordu kaybın","Your army loss","apps/web/src/components/SaldiriOnizleme.tsx:170"
tfe40d1af,arayuz,"Ordu seçmedin","You didn't select an army","apps/web/src/screens/Harita.tsx:775"
tb51bd036,arayuz,"Ordu yola çıktı. Varış {0} sonra.","Army is on the move. Arrival in {0}.","apps/web/src/screens/Harita.tsx:821"
t7b119d9d,arayuz,"Ordun {0} yolunda","Your army is on the way to {0}","apps/web/src/components/DunyaHaritasi.tsx:460"
